Route,Avg_Boardings,Avg_Percent_Low_Income,Avg_Percent_Zero_Vehicle,Total_Population_Served,Stops_In_Disadvantaged_Tracts,Total_Scheduled_Trips,Current_Average,Forecasted_Boardings,Forecast_Date,Demand_Score,Need_Score,Service_Score,Underserved_Score,Is_Underserved_Future
59,1179.85351391359,0.29093710066688994,0.11997498183804842,135005,21,114,948.8571,1179.85351391359,2026-08-01,0.14388962431992666,0.3156158041540319,0.31365795724465556,0.14478778057504232,0
60,3576.149965161751,0.3195603960629614,0.12222032508655764,79871,17,335,3150.572,3576.149965161751,2026-08-01,0.43613115436000577,0.3570706446860751,0.8385985748218527,0.18570223838991345,0
61,2768.799286865445,0.3042880445670328,0.08199546007577027,93795,15,259,2833.381,2768.799286865445,2026-08-01,0.3376702993262669,0.21621315494149781,0.6580760095011877,0.11094274778792147,0
66,5856.771743240989,0.4197397191938857,0.11911972686331426,303671,57,325,5453.857,5856.771743240989,2026-08-01,0.7142655218842935,0.46633444096405363,0.8148456057007126,0.4087726687332109,1
68,4772.296127806566,0.4248842184102751,0.10887218502254759,292164,52,325,4491.857,4772.296127806566,2026-08-01,0.5820077567898982,0.42897749917985484,0.8148456057007126,0.3063994335421491,0
70,2981.2720520208577,0.39818460752515833,0.08756201980859982,227733,45,322,3252.095,2981.2720520208577,2026-08-01,0.36358252147579334,0.315223134901626,0.8077197149643706,0.14189281268204887,0
71,1188.6256855620056,0.33494213360240727,0.052615902812913264,90448,15,248,1675.667,1188.6256855620056,2026-08-01,0.14495943889273208,0.14305157510181085,0.6319477434679336,0.03281390949461037,0
72,1555.039130715474,0.4553500987961688,0.10728780270069119,186736,41,268,2175.428,1555.039130715474,2026-08-01,0.18964557352483516,0.45489363431376284,0.6794536817102138,0.12696754244540784,0
73,1526.3441773798947,0.4637698046602071,0.1457198989512508,226406,46,267,2140.857,1526.3441773798947,2026-08-01,0.1861460661651133,0.6418874365631613,0.6770783847980998,0.17647117958531605,0
77,1606.3790908860194,0.40800417775237857,0.07736620928279908,128540,26,269,2004.048,1606.3790908860194,2026-08-01,0.19590676399841866,0.28227064861507034,0.6818289786223278,0.08110351873522186,0
83,154.00007220156044,0.325156576200418,0.13599348534202,7694,2,30,119.7619,154.00007220156044,2026-08-01,0.018781155688406072,0.40861857408392577,0.11413301662707839,0.06724021920948633,0
84,112.42910133260264,0.471950133570793,0.0944087992667278,22815,5,57,83.2381,112.42910133260264,2026-08-01,0.013711347182172276,0.4119843002598438,0.1782660332541568,0.03168780766223341,0
85,96.43934784124853,0.3699839870739068,0.06353352425995785,223593,31,64,109.2857,96.43934784124853,2026-08-01,0.011761308812402517,0.2017959165612903,0.1948931116389549,0.012177875717618534,0
86,136.55909103240796,0.4586256396230176,0.0914266210033404,26259,5,54,101.1905,136.55909103240796,2026-08-01,0.01665413212267886,0.385766464702368,0.17114014251781473,0.03754002758869504,0
